Name, Band Gap (eV), n*_SiC, n_CH, n_SiH, n_SiSi, n_CC, SiC density, CH density, SiH density, SiSi density, CC density, HH density, Mean SiSi Length, MAD SiSi, STD SiSi, Mean CC Length, MAD CC, STD CC, Mean SiC Length, MAD SiC, STD SiC, %C, %Si, %H, Density(g/cm^3), Volume(cm^3), Free Energy, 1C, 2C, 3C, 4C, 5C, 6C, 7C, 8C, 9C, 10C, 11C, 1Si, 2Si, 3Si, 4Si, 5Si, 6Si, 7Si, 8Si, 9Si, 10Si, 11Si
/storage/home/cjb6010/work/group_work/results/CC_models/76Mixed_bulk_CC/17C,0.819624,0.491522,0.0851298,0.0897314,0,0.266893,98.1597,16.434,17.3223,0,51.5227,0,0,0,0,1.61467,0.0498514,0.0677876,1.90229,0.0343771,0.047096,0.402542,0.275424,0.322034,2.24451,2.25E-21,-1458.01,37,0,0,1,0,0,0,0,0,0,2,65,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_8_Surf/1,1.97685,0.302924,0.0803484,0.0499463,0,0.0130295,134.568,15.5109,9.64193,0,2.51529,0,0,0,0,1.63795,0.0246885,0.031755,1.90322,0.017888,0.0238384,0.383966,0.362869,0.253165,2.48434,2.39E-21,-1530.05,87,0,0,1,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_8_Surf/2,1.98863,0.309438,0.0825199,0.0477747,0,0.0260589,133.31,15.9301,9.22272,0,5.03057,0,0,0,0,1.64214,0.017159,0.0222626,1.90523,0.0188027,0.0256564,0.388186,0.35865,0.253165,2.47315,2.39E-21,-1532.56,84,0,0,2,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_8_Surf/3,1.98894,0.315953,0.0846915,0.0456031,0,0.0390884,132.053,16.3494,8.8035,0,7.54586,0,0,0,0,1.64056,0.0140927,0.0195795,1.9074,0.0193221,0.0259726,0.392405,0.35443,0.253165,2.46196,2.39E-21,-1534.86,81,0,0,3,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_8_Surf/4,1.99469,0.322468,0.0868631,0.0434315,0,0.0521179,130.795,16.7686,8.38429,0,10.0611,0,0,0,0,1.65225,0.0246154,0.0284682,1.90897,0.0204153,0.0270678,0.396624,0.350211,0.253165,2.45077,2.39E-21,-1536.93,79,0,0,2,0,0,1,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_8_Surf/5,2.00496,0.328983,0.0890347,0.04126,0,0.0651473,129.537,17.1878,7.96507,0,12.5764,0,0,0,0,1.6514,0.0208553,0.0246096,1.9109,0.0215112,0.0282332,0.400844,0.345992,0.253165,2.43958,2.39E-21,-1539.47,76,0,0,3,0,0,1,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_8_Surf/6,1.98243,0.335497,0.0912063,0.0390884,0,0.0781768,128.28,17.607,7.54586,0,15.0917,0,0,0,0,1.6485,0.0247332,0.0291529,1.91295,0.0224023,0.028961,0.405063,0.341772,0.253165,2.42839,2.39E-21,-1542.43,74,0,0,2,0,0,2,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_8_Surf/7,1.9921,0.342012,0.0933778,0.0369168,0,0.0912063,127.022,18.0262,7.12664,0,17.607,0,0,0,0,1.64306,0.0261907,0.0308403,1.91515,0.0234897,0.0304708,0.409283,0.337553,0.253165,2.4172,2.39E-21,-1545.03,71,0,0,3,0,0,2,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_8_Surf/8,2.0063,0.348527,0.0955494,0.0347452,0,0.104236,125.764,18.4454,6.70743,0,20.1223,0,0,0,0,1.64988,0.0318284,0.0446566,1.91693,0.0249229,0.0318655,0.413502,0.333333,0.253165,2.40601,2.39E-21,-1547.25,70,0,0,3,0,0,1,0,1,0,0,79,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_8_Surf/10,1.33405,0.361556,0.0998926,0.0304021,0,0.125951,123.249,19.2839,5.869,0,24.3144,0,0,0,0,1.63916,0.0333039,0.0502912,1.91843,0.0261346,0.0326252,0.421941,0.324895,0.253165,2.38363,2.39E-21,-1550.78,68,0,0,2,0,0,1,1,1,0,0,77,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_9_Surf/1,2.02114,0.326039,0.0777647,0.0604836,0,0.00864052,130.105,15.0122,11.6761,0,1.66802,0,0,0,0,1.59877,0.00401026,0.00463064,1.90316,0.0185698,0.0241995,0.371308,0.35865,0.270042,2.42964,2.40E-21,-1508.95,85,0,1,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_9_Surf/2,2.054,0.33437,0.0815933,0.055827,0,0.0171775,128.497,15.7513,10.7772,0,3.31606,0,0,0,0,1.60479,0.00754635,0.00820049,1.90715,0.0188761,0.0250553,0.375527,0.35443,0.270042,2.40402,2.41E-21,-1513.1,83,0,2,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_9_Surf/3,2.05572,0.337259,0.0841919,0.0539691,0,0.0302227,127.939,16.2529,10.4185,0,5.83437,0,0,0,0,1.62275,0.019769,0.0219748,1.90661,0.0199227,0.0261684,0.379747,0.350211,0.270042,2.40586,2.40E-21,-1515.31,80,0,2,1,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_9_Surf/4,2.04914,0.339,0.0907255,0.0475229,0,0.0345621,127.603,17.5142,9.1741,0,6.67207,0,0,0,0,1.61524,0.0218513,0.0281545,1.90609,0.0194761,0.0254443,0.383966,0.345992,0.270042,2.39625,2.40E-21,-1519.83,79,1,2,1,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_9_Surf/5,2.05617,0.345481,0.0928856,0.0453627,0,0.0475229,126.352,17.9312,8.75709,0,9.1741,0,0,0,0,1.61132,0.0226154,0.0277664,1.90819,0.0200877,0.0264922,0.388186,0.341772,0.270042,2.38512,2.40E-21,-1523.16,76,1,2,2,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_9_Surf/6,2.09824,0.351961,0.0950457,0.0432026,0,0.0604836,125.101,18.3482,8.34009,0,11.6761,0,0,0,0,1.63084,0.0377322,0.0465161,1.9097,0.0209228,0.0281329,0.392405,0.337553,0.270042,2.37399,2.40E-21,-1525.16,74,1,2,1,0,0,1,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_9_Surf/7,2.09846,0.358441,0.0972059,0.0410425,0,0.0734444,123.85,18.7652,7.92309,0,14.1782,0,0,0,0,1.63252,0.034666,0.0437054,1.91186,0.0223622,0.0293104,0.396624,0.333333,0.270042,2.36286,2.40E-21,-1527.03,71,1,2,2,0,0,1,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_9_Surf/8,2.08757,0.364922,0.099366,0.0388823,0,0.0864052,122.599,19.1822,7.50608,0,16.6802,0,0,0,0,1.62983,0.0326769,0.0436415,1.914,0.0229832,0.0300877,0.400844,0.329114,0.270042,2.35172,2.40E-21,-1530.15,68,1,2,3,0,0,1,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_9_Surf/9,2.06441,0.371402,0.101526,0.0367222,0,0.099366,121.348,19.5992,7.08908,0,19.1822,0,0,0,0,1.63164,0.0322415,0.0420314,1.91658,0.0234428,0.0304061,0.405063,0.324895,0.270042,2.34059,2.40E-21,-1532.51,65,1,2,4,0,0,1,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/Mixed_9_Surf/10,2.06018,0.377882,0.103686,0.0345621,0,0.112327,120.097,20.0162,6.67207,0,21.6842,0,0,0,0,1.64071,0.0458383,0.0708709,1.91848,0.0236741,0.0309171,0.409283,0.320675,0.270042,2.32946,2.40E-21,-1534.24,63,1,2,4,0,0,0,0,0,1,0,76,0,0,0,0,0,0,0,0,0,0
